2025-01-21 19:34:09,667 - INFO - Starting pre-training with elite players dataset...
2025-01-21 19:34:09,669 - INFO - Found 245 videos in elite_players_dataset
2025-01-22 06:42:06,835 - INFO - Epoch 85, Loss: 0.000021
2025-01-22 06:50:08,297 - INFO - Epoch 86, Loss: 0.000021
2025-01-22 06:58:06,215 - INFO - Epoch 87, Loss: 0.000021
2025-01-22 07:06:00,765 - INFO - Epoch 88, Loss: 0.000021
2025-01-22 07:14:05,407 - INFO - Epoch 89, Loss: 0.000020
2025-01-22 07:21:59,384 - INFO - Epoch 90, Loss: 0.000020
2025-01-22 07:29:52,322 - INFO - Epoch 91, Loss: 0.000020
2025-01-22 07:37:47,587 - INFO - Epoch 92, Loss: 0.000019
2025-01-22 07:45:46,769 - INFO - Epoch 93, Loss: 0.000019
2025-01-22 07:53:39,743 - INFO - Epoch 94, Loss: 0.000019
2025-01-22 08:01:38,805 - INFO - Epoch 95, Loss: 0.000019
2025-01-22 08:09:51,648 - INFO - Epoch 96, Loss: 0.000018
2025-01-22 08:17:55,858 - INFO - Epoch 97, Loss: 0.000018
2025-01-22 08:25:48,581 - INFO - Epoch 98, Loss: 0.000018
2025-01-22 08:33:58,164 - INFO - Epoch 99, Loss: 0.000017
2025-01-22 08:41:59,830 - INFO - Epoch 100, Loss: 0.000017
2025-01-22 08:41:59,841 - INFO - Pre-training completed!
